time,open,high,low,close,volume
2023-04-03 20:00:00,212.9,213.16,212.9,213.16,3981
2023-04-03 19:30:00,212.89,212.98,212.88,212.98,3476
2023-04-03 19:00:00,212.7501,212.89,212.7501,212.8,2162
2023-04-03 18:30:00,212.9,212.91,212.83,212.9,4554
2023-04-03 18:00:00,212.94,212.99,212.9,212.9,2159
2023-04-03 17:30:00,212.95,212.99,212.91,212.94,6123
2023-04-03 17:00:00,213.03,213.04,212.96,213.04,7991
2023-04-03 16:30:00,213.07,213.18,213.0,213.07,308020
2023-04-03 16:00:00,213.0,213.4861,212.5991,213.09,2201506
2023-04-03 15:30:00,212.35,213.1199,212.1219,212.98,1195244
2023-04-03 15:00:00,211.215,212.57,211.215,212.315,1269370
2023-04-03 14:30:00,210.755,211.295,210.53,211.215,544927
2023-04-03 14:00:00,210.4254,211.12,210.25,210.7699,639176
2023-04-03 13:30:00,211.0801,211.09,210.42,210.42,973272
2023-04-03 13:00:00,211.28,211.6482,211.04,211.08,703526
2023-04-03 12:30:00,210.97,211.74,210.71,211.27,910520
2023-04-03 12:00:00,210.44,211.0,210.31,210.97,841738
2023-04-03 11:30:00,209.16,210.65,208.8801,210.4955,1028148
2023-04-03 11:00:00,210.83,211.0,208.705,209.15,1287228
2023-04-03 10:30:00,210.3,210.98,209.72,210.82,1498299
2023-04-03 10:00:00,208.84,211.05,208.2,210.31,2987826
2023-04-03 09:30:00,209.57,209.79,208.5,208.7,97527
2023-04-03 09:00:00,209.1095,209.5,208.51,209.5,64318
2023-04-03 08:30:00,210.65,210.8821,209.21,209.21,63234
2023-04-03 08:00:00,210.43,210.44,210.0,210.0,25361
2023-04-03 07:30:00,209.75,210.63,209.62,210.48,17924
2023-04-03 07:00:00,209.94,209.98,209.55,209.55,3264
2023-04-03 06:30:00,209.7,209.99,209.61,209.8,2015
2023-04-03 06:00:00,209.61,209.61,209.55,209.59,2117
2023-04-03 05:30:00,209.54,209.8,209.54,209.7,4540
2023-04-03 05:00:00,209.57,209.57,209.57,209.57,302
2023-04-03 04:30:00,210.85,210.85,209.5,210.02,7367
2023-03-31 20:00:00,212.15,212.3499,212.0001,212.0001,9305
2023-03-31 19:30:00,212.07,212.15,212.0,212.0,2330
2023-03-31 19:00:00,211.9501,212.12,211.9501,212.12,955
2023-03-31 18:30:00,211.94,212.0,211.92,212.0,1365
2023-03-31 18:00:00,211.97,212.05,211.941,211.941,4174
