time,open,high,low,close,volume
2023-03-31 20:00:00,122.7,122.7,122.7,122.7,204
2023-03-31 19:00:00,122.64,122.64,122.64,122.64,330
2023-03-31 18:00:00,122.72,122.73,122.64,122.72,1503
2023-03-31 17:00:00,122.64,122.89,122.01,122.75,505380
2023-03-31 16:00:00,121.94,122.71,121.91,122.59,1646278
2023-03-31 15:00:00,121.38,121.94,121.38,121.935,396099
2023-03-31 14:00:00,121.41,121.5,121.2,121.38,340630
2023-03-31 13:00:00,121.62,121.87,121.29,121.4,388491
2023-03-31 12:00:00,121.34,121.71,121.3,121.635,292880
2023-03-31 11:00:00,121.02,121.38,120.9,121.335,441511
2023-03-31 10:00:00,120.58,121.595,120.58,120.9905,391156
2023-03-31 09:00:00,120.7453,120.94,120.4,120.4,6684
2023-03-31 08:00:00,120.5,120.77,120.5,120.5,865
2023-03-30 20:00:00,119.95,120.38,119.95,120.38,400
2023-03-30 18:00:00,120.1,120.1,120.1,120.1,11011
2023-03-30 17:00:00,120.1,120.1,119.95,120.1,189671
2023-03-30 16:00:00,120.08,120.38,119.99,120.09,1280190
2023-03-30 15:00:00,119.62,120.28,119.58,120.08,470304
2023-03-30 14:00:00,119.94,120.03,119.335,119.615,288984
2023-03-30 13:00:00,119.92,120.15,119.63,119.95,388219
2023-03-30 12:00:00,120.4831,120.78,119.85,119.91,438103
2023-03-30 11:00:00,120.82,120.85,120.21,120.5,561210
2023-03-30 10:00:00,121.6,121.6,120.69,120.8,498228
2023-03-30 09:00:00,121.4753,121.83,120.29,121.6,10755
2023-03-30 08:00:00,121.0,121.6,121.0,121.6,1859
2023-03-30 07:00:00,121.0,121.0,121.0,121.0,223
2023-03-29 20:00:00,120.15,120.15,120.12,120.12,499
2023-03-29 18:00:00,120.15,120.15,120.15,120.15,1908
2023-03-29 17:00:00,120.49,120.73,120.1,120.2,130780
2023-03-29 16:00:00,120.29,120.57,120.09,120.51,1030486
2023-03-29 15:00:00,119.71,120.37,119.59,120.27,440382
2023-03-29 14:00:00,119.47,119.91,119.42,119.69,418868
2023-03-29 13:00:00,119.85,119.92,119.46,119.485,356360
2023-03-29 12:00:00,118.99,120.005,118.94,119.84,630543
2023-03-29 11:00:00,119.82,120.04,118.8,118.99,898534
2023-03-29 10:00:00,119.1,120.042,118.49,119.78,886496
2023-03-29 09:00:00,119.2499,119.43,118.98,119.22,6589
2023-03-29 08:00:00,119.07,119.43,119.07,119.33,5966
2023-03-29 05:00:00,118.95,119.67,118.95,119.65,1139
2023-03-28 20:00:00,118.5,118.5,118.47,118.5,1729
2023-03-28 19:00:00,118.47,118.47,118.38,118.38,817
2023-03-28 18:00:00,118.45,118.58,118.4075,118.55,2866
2023-03-28 17:00:00,117.87,118.45,117.6,118.45,145060
2023-03-28 16:00:00,117.595,117.9,117.53,117.88,849382
2023-03-28 15:00:00,116.98,117.65,116.96,117.59,327572
2023-03-28 14:00:00,117.34,117.41,116.85,116.97,355868
2023-03-28 13:00:00,117.27,117.41,116.95,117.35,447374
2023-03-28 12:00:00,117.23,117.64,117.15,117.2617,632727
2023-03-28 11:00:00,117.76,118.26,117.18,117.235,690977
2023-03-28 10:00:00,117.64,118.44,117.51,117.785,540511
2023-03-28 09:00:00,118.11,118.33,117.6,117.6,10982
