time,open,high,low,close,volume
2022-04-08 20:00:00,354.35,354.78,354.35,354.78,1293
2022-04-08 19:00:00,355.0,355.0,354.5,354.5,1247
2022-04-08 18:00:00,355.68,355.68,355.0,355.0,3828
2022-04-08 17:00:00,355.88,355.91,355.302,355.4056,182941
2022-04-08 16:00:00,355.72,358.1399,355.32,355.69,801407
2022-04-08 15:00:00,356.89,358.36,354.865,355.8562,556547
2022-04-08 14:00:00,359.0272,359.105,356.5,357.005,411986
2022-04-08 13:00:00,360.6028,362.0,358.85,359.0,301602
2022-04-08 12:00:00,359.46,361.12,356.9,360.7,472243
2022-04-08 11:00:00,357.445,362.5,356.68,359.49,458520
2022-04-08 10:00:00,361.61,362.8224,357.05,357.535,500356
2022-04-08 09:00:00,364.29,364.7,361.22,361.3009,10627
2022-04-08 08:00:00,364.1,364.1,364.0,364.0,2940
2022-04-08 06:00:00,364.37,364.37,364.37,364.37,250
2022-04-08 05:00:00,364.36,364.36,364.36,364.36,150
2022-04-07 20:00:00,362.26,363.85,362.26,363.07,950
2022-04-07 19:00:00,362.11,362.5,362.11,362.5,307
2022-04-07 18:00:00,361.8,363.0,361.8,363.0,552
2022-04-07 17:00:00,362.15,362.8,359.13,361.8,114542
2022-04-07 16:00:00,362.38,365.5,361.95,362.15,1018546
2022-04-07 15:00:00,361.49,362.95,358.83,362.685,406491
2022-04-07 14:00:00,354.63,361.49,354.6,361.46,530376
2022-04-07 13:00:00,356.68,357.86,353.6897,354.66,541051
2022-04-07 12:00:00,362.56,362.97,356.43,356.92,649653
2022-04-07 11:00:00,365.57,367.26,360.25,362.08,669360
2022-04-07 10:00:00,361.2,368.54,361.0,365.6,681583
2022-04-07 09:00:00,371.5,371.5,360.5,362.25,26208
2022-04-07 08:00:00,371.39,371.5,368.5,368.5,4021
2022-04-07 06:00:00,370.0,371.16,369.95,370.79,1642
2022-04-06 20:00:00,368.28,368.28,366.0,366.05,2278
2022-04-06 19:00:00,367.75,368.28,367.75,368.28,3730
2022-04-06 18:00:00,368.35,368.35,367.0108,367.0108,3687
2022-04-06 17:00:00,368.35,368.35,367.013,367.11,79311
2022-04-06 16:00:00,370.74,373.0,366.43,368.14,891952
2022-04-06 15:00:00,366.205,370.8,362.95,370.61,543505
2022-04-06 14:00:00,363.56,368.165,363.04,366.195,411936
2022-04-06 13:00:00,365.17,365.875,362.73,363.62,374793
2022-04-06 12:00:00,366.66,367.69,364.63,365.085,448871
2022-04-06 11:00:00,367.742,368.18,362.89,366.81,773039
2022-04-06 10:00:00,374.66,376.97,367.5704,367.5704,498477
2022-04-06 09:00:00,375.0,375.0,372.8764,374.0,6530
2022-04-06 08:00:00,376.0,377.14,373.01,373.01,7576
2022-04-06 07:00:00,376.2,376.2,375.54,375.54,1952
2022-04-06 05:00:00,377.3,377.3,375.5,376.2,935
2022-04-05 20:00:00,380.15,380.15,380.15,380.15,1001
2022-04-05 19:00:00,380.16,380.3,380.16,380.3,657
2022-04-05 18:00:00,381.15,381.9248,380.8,380.8,1508
2022-04-05 17:00:00,380.15,381.0,380.15,380.95,74442
2022-04-05 16:00:00,378.025,380.41,377.31,380.24,750502
2022-04-05 15:00:00,379.36,380.96,377.86,378.14,388641
2022-04-05 14:00:00,379.69,381.84,378.35,379.412,363700
2022-04-05 13:00:00,380.39,380.72,377.305,379.6378,427330
2022-04-05 12:00:00,383.94,384.4,379.78,380.4,551087
2022-04-05 11:00:00,387.48,388.92,382.1938,383.86,642229
2022-04-05 10:00:00,390.0,390.5,384.15,387.46,643925
2022-04-05 09:00:00,390.0,394.14,389.91,390.5,5516
2022-04-05 08:00:00,389.92,389.92,389.91,389.91,1214
2022-04-05 07:00:00,391.0,391.0,389.55,389.55,2168
2022-04-05 05:00:00,393.5,393.5,393.0,393.0,416
2022-04-04 20:00:00,391.5,391.5,391.31,391.31,3153
2022-04-04 19:00:00,392.0,392.27,391.5,391.98,2976
2022-04-04 18:00:00,392.125,392.4899,392.03,392.03,2935
2022-04-04 17:00:00,391.5,392.5,391.42,391.86,406305
2022-04-04 16:00:00,393.8021,395.3161,390.7,391.51,1215642
2022-04-04 15:00:00,392.46,394.4,389.92,393.73,586909
2022-04-04 14:00:00,394.13,396.02,392.2901,392.5396,681439
2022-04-04 13:00:00,392.09,395.395,390.85,394.23,839831
2022-04-04 12:00:00,386.34,392.1,386.335,392.06,654716
2022-04-04 11:00:00,380.99,387.245,374.0,386.1701,747076
2022-04-04 10:00:00,374.5,383.0,372.32,381.0,698854
2022-04-04 09:00:00,376.3,376.3,374.1482,374.5,94274
2022-04-04 08:00:00,376.0,376.42,375.99,376.0,1724
2022-04-04 07:00:00,377.39,377.5,376.5,376.5,727
2022-04-04 05:00:00,373.98,374.8,373.98,374.8,591
2022-04-01 20:00:00,373.48,373.99,373.48,373.99,901
2022-04-01 19:00:00,373.3,374.22,373.3,374.22,2103
2022-04-01 18:00:00,373.12,373.28,373.12,373.28,772
2022-04-01 17:00:00,373.47,374.25,372.42,372.9119,66965
2022-04-01 16:00:00,375.933,377.04,368.5,373.45,1894180
2022-04-01 15:00:00,374.41,376.81,373.75,375.975,214032
2022-04-01 14:00:00,374.93,375.87,373.4,374.5,259594
2022-04-01 13:00:00,373.42,375.76,372.4,374.99,277515
2022-04-01 12:00:00,377.31,378.0,372.5,373.51,462288
2022-04-01 11:00:00,380.57,380.87,375.72,377.345,438302
2022-04-01 10:00:00,375.1,380.6,373.52,380.6,429954
